appid,name,slug,release_date,review_score,avg_playtime,players,avg_concurrent_players_after_90,estimated_launch_reviews,estimated_launch_followers,estimated_launch_copies_sold,developer,publisher,avg_sentiment,is_singleplayer,price,is_vet_dev,is_successful,is_sequel,is_q4_release,is_free
8190,Just Cause 2,just_cause_2,2010-03-23,91.0,12.91570975795162,6711114.0,1804.1648351648355,4053.3,5781.3,602055.4,Avalanche Studios,Square Enix,0.3656896999999999,True,7.49,0,1.0,1,0,0
8850,BioShock 2,bioshock_2,2010-02-09,89.0,6.874669190592837,2313525.0,485.1666666666667,1115.5,3206.3,102335.9,2K Marin,2K,0.5389658227848101,True,4.99,1,1.0,1,0,0
8870,BioShock Infinite,bioshock_infinite,2013-03-25,94.0,12.500226799340918,8145964.0,8861.857142857143,10732.7,13123.2,713402.2000000001,Irrational Games,2K,0.4766536000000007,True,7.49,0,1.0,0,0,0
9480,Saints Row 2,saints_row_2,2009-01-07,76.0,12.394983801096632,2756285.0,282.7391304347826,1220.0,2025.3,103672.9,Volition,Deep Silver,0.4928826999999998,True,2.49,0,1.0,1,0,0
12210,Grand Theft Auto IV: The Complete Edition,grand_theft_auto_iv_the_complete_edition,2010-10-01,83.0,26.61368803695212,8675370.0,577.054945054945,16285.6,17897.8,815531.5,Rockstar North,Rockstar Games,0.3720352000000003,True,7.99,0,1.0,1,1,0
49520,Borderlands 2,borderlands_2,2012-09-17,89.0,47.09220953834859,19473804.0,41464.73626373626,20840.0,31604.6,1632593.1,Gearbox Software,2K,0.4723564000000009,True,4.99,1,1.0,1,0,0
50130,Mafia II (Classic),mafia_ii_classic,2011-03-22,94.0,23.185696918857648,3593907.0,1935.5384615384608,3496.0,9320.8,290560.0,2K Czech,2K,0.4318556000000011,True,9.99,1,1.0,1,0,0
55230,Saints Row: The Third,saints_row_the_third,2011-11-14,96.0,25.39353303171545,7676110.0,4146.384615384615,4829.2,7151.0,652350.9,Volition,Deep Silver,0.4452338999999994,True,4.99,0,1.0,1,1,0
200260,Batman: Arkham City - Game of the Year Edition,batman_arkham_city_game_of_the_year_edition,2012-09-07,96.0,15.20667371024384,5758867.0,1560.904761904762,5169.900000000001,5294.0,154992.7,Rocksteady Studios,WB Games,0.5501839000000002,True,7.99,0,1.0,1,0,0
203140,Hitman: Absolution,hitman_absolution,2012-11-19,93.0,11.967961306797257,5022964.0,6365.263736263736,4514.0,6956.8,444072.8000000001,Io-Interactive A/S,Io-Interactive A/S,0.3643745000000006,True,9.99,0,1.0,1,1,0
204100,Max Payne 3,max_payne_3,2012-05-31,87.0,13.272878482450238,3271246.0,2192.911111111111,5074.0,6319.400000000001,302481.10000000003,Rockstar Studios,Rockstar Games,0.3811846000000003,True,5.99,0,1.0,1,0,0
206420,Saints Row IV: Re-Elected,saints_row_iv_re_elected,2013-08-19,88.0,19.47850085642786,7261788.0,7124.945054945055,5725.200000000001,8226.4,632027.8,Deep Silver Volition,Deep Silver,0.315527100000001,True,4.99,0,1.0,1,0,0
208650,Batman: Arkham Knight,batman_arkham_knight,2015-06-23,89.0,21.5476871132606,7036201.0,4819.197802197802,10216.0,19096.3,593877.1,Rocksteady Studios,WB Games,0.4331061000000002,True,59.99,0,1.0,1,0,0
218620,PAYDAY 2,payday_2,2013-08-13,89.0,43.67834616555147,46625233.0,16758.747252747253,43917.2,820295.8,3864546.4,OVERKILL - a Starbreeze Studio.,Starbreeze Entertainment,0.2152526999999997,True,7.49,0,1.0,1,0,0
219640,Chivalry: Medieval Warfare,chivalry_medieval_warfare,2012-10-16,83.0,15.29611326577777,8050090.0,4608.725274725275,4466.400000000001,33824.5,677827.0,Torn Banner Studios,Torn Banner Studios,-0.1090433333333333,False,6.24,0,1.0,1,1,0
220240,Far Cry 3,far_cry_3,2012-12-04,89.0,20.26701932577147,6414396.0,8324.175824175823,11070.2,14585.6,614517.9,"Ubisoft Montreal, Massive Entertainment, and Ubisoft Shanghai",Ubisoft,0.2339022000000004,True,7.49,1,1.0,1,1,0
225540,Just Cause 3,just_cause_3,2015-11-30,84.0,20.19651091151687,8564730.0,8172.362637362637,10117.8,31449.2,776379.3,Avalanche Studios,Square Enix,0.4652084000000004,True,53.99,0,1.0,1,1,0
234140,Mad Max,mad_max,2015-09-01,92.0,23.114079492281707,4700723.0,8376.285714285714,5471.400000000001,23354.1,384133.2,Avalanche Studios,Warner Bros. Games,0.4080951,True,71.98,0,1.0,0,0,0
238010,Deus Ex: Human Revolution - Director's Cut,deus_ex_human_revolution_director_s_cut,2013-10-25,92.0,16.451695860226902,2477476.0,1844.952380952381,2437.2000000000003,4464.6,228829.6,Eidos Montreal,Eidos Interactive Corp.,0.4097344999999994,True,9.99,0,1.0,1,1,0
239140,Dying Light,dying_light,2016-04-21,95.0,32.188082742932004,22401612.0,3576.769230769231,35498.3,73722.1,1960760.4,Techland,Techland,0.4231799000000005,False,59.99,1,1.0,0,0,0
242050,Assassins Creed IV Black Flag,assassin_s_creed_iv_black_flag,2013-11-19,88.0,21.40153141135927,3140788.0,7119.761904761905,6805.700000000001,14960.2,300932.10000000003,Ubisoft Montreal,Ubisoft Montreal,0.4084123000000003,True,39.99,1,1.0,1,1,0
242760,The Forest,the_forest,2018-04-30,96.0,21.41162911105831,33402664.0,14326.296703296704,55261.0,79054.1,3090820.3000000003,Endnight Games Ltd,Endnight Games Ltd,0.3912256000000004,True,10.04,0,1.0,0,0,0
243470,Watch_Dogs,watch_dogs,2014-05-26,79.0,18.66548163433957,2505347.0,8212.08,4455.400000000001,10294.9,241930.4,Ubisoft,Ubisoft,0.4472354,True,35.99,1,1.0,0,0,0
261640,Borderlands: The Pre-Sequel,borderlands_the_pre_sequel,2014-10-13,79.0,22.364799497201457,5876513.0,15389.9010989011,3129.6000000000004,20544.7,314021.9,2K Australia,2K,0.3277434999999999,True,40.19,1,1.0,1,1,0
271590,Grand Theft Auto V,grand_theft_auto_v,2015-04-13,87.0,151.31782987508095,65599554.0,126284.95555555556,182711.7,338694.7,6559955.4,Rockstar North,Rockstar Games,0.3147394000000003,True,59.99,0,1.0,0,0,0
275850,No Man's Sky,no_man_s_sky,2016-08-12,84.0,48.74535449187072,12721375.0,14279.725274725277,29426.300000000003,84383.70000000001,1114770.7,Hello Games,Hello Games,0.6859675000000008,True,59.99,0,1.0,0,0,0
287700,METAL GEAR SOLID V: THE PHANTOM PAIN,metal_gear_solid_v_the_phantom_pain,2015-09-01,92.0,47.246496100878765,5306733.0,27763.98901098901,7028.3,25527.9,443762.0,KONAMI,KONAMI,0.2940651000000004,True,59.99,1,1.0,1,0,0
289070,Sid Meiers Civilization VI,sid_meier_s_civilization_vi,2016-10-20,86.0,72.61531056292027,27108859.0,49043.71428571428,26593.300000000003,80179.3,2342655.6,Firaxis Games,2K,0.4068591000000005,True,59.99,0,1.0,0,1,0
292030,The Witcher 3: Wild Hunt,the_witcher_3_wild_hunt,2015-05-18,97.0,51.88661625800921,29068871.0,29020.24175824176,78458.6,98972.2,2799794.8000000003,CD PROJEKT RED,CD PROJEKT RED,0.531644900000001,True,53.99,1,1.0,1,0,0
298110,Far Cry 4,far_cry_4,2014-11-01,84.0,24.53658174376622,3799582.0,7550.473684210527,6011.6,27826.800000000003,365605.1,"Ubisoft Montreal, Red Storm, Shanghai, Toronto, Kiev",Ubisoft,0.2400794000000006,True,47.99,1,1.0,1,1,0
307690,Sleeping Dogs: Definitive Edition,sleeping_dogs_definitive_edition,2014-10-08,94.0,14.133135002034043,4229604.0,765.6666666666666,6431.8,10765.4,398059.2,United Front Games,Square Enix,0.5218058,True,14.99,0,1.0,1,1,0
311340,METAL GEAR SOLID V: GROUND ZEROES,metal_gear_solid_v_ground_zeroes,2014-12-18,85.0,5.077718432956059,2054832.0,2902.375,1301.0,6130.900000000001,110150.8,KONAMI,KONAMI,0.423033,True,13.39,1,1.0,1,1,0
337000,Deus Ex: Mankind Divided,deus_ex_mankind_divided,2016-08-23,76.0,18.64646659011392,2729804.0,7652.472527472528,2992.4,14336.4,235241.0,Eidos Montreal,Eidos Interactive Corp.,0.4812164999999998,True,59.99,0,1.0,1,0,0
346110,ARK: Survival Evolved,ark_survival_evolved,2017-08-27,83.0,76.46803036953851,39273059.0,53382.98901098901,56603.4,163088.0,3440755.2,Studio Wildcard,Studio Wildcard,0.2540560000000002,True,24.89,0,1.0,1,0,0
359550,Tom Clancy's Rainbow Six Siege X,tom_clancy_s_rainbow_six_siege_x,2015-12-01,83.0,129.05931655289854,37005174.0,12294.989010989011,146109.30000000002,128311.5,3700517.4,Ubisoft Montreal,Ubisoft,0.1542343,False,89.99,1,1.0,0,1,0
360430,Mafia III: Definitive Edition,mafia_iii_definitive_edition,2020-05-19,57.0,21.01180625169213,3152508.0,1252.3736263736264,3847.1,18671.9,257883.4,Hangar 13,2K,0.3333804999999998,True,59.99,0,1.0,1,0,0
368500,Assassin's Creed Syndicate,assassin_s_creed_syndicate,2015-11-18,80.0,24.28958987683872,1865856.0,1640.065934065934,2910.5,17977.600000000002,180803.7,"Ubisoft Quebec, in collaboration with Ubisoft Annecy, Bucharest, Kiev, Montreal, Montpellier, Shanghai, Singapore, Sofia, Toronto studios",Ubisoft,0.4611210000000005,True,59.99,1,1.0,0,1,0
377160,Fallout 4,fallout_4,2015-11-09,81.0,77.62063805559669,19944080.0,147915.24175824175,27525.6,92020.4,1666839.8,Bethesda Game Studios,Bethesda Softworks,-0.0354795,True,59.99,1,1.0,1,1,0
