name,slug,appid,release_date,total_reviews,followers,review_score,avg_playtime,copies_sold,revenue,players,owners,peak_concurrent_players_after_90,peak_concurrent_players_timestamp,avg_concurrent_players_after_90
Half-Life 2,half_life_2,220,2007-10-10,188808.0,100171.0,98.0,11.972283957871,12987070.0,49351488.0,15030851.0,24293052.0,2863.0,2008-10-19 00:00:00,1630.2564102564102
Half-Life 2: Deathmatch,half_life_2_deathmatch,320,2004-11-01,9832.0,9741.0,91.0,8.376507066429978,4581776.0,81612.52262957476,4581776.0,17716323.0,2658.0,2008-10-19 00:00:00,1517.7179487179487
Half-Life Deathmatch: Source,half_life_deathmatch_source,360,2006-05-01,4120.0,6926.0,75.0,3.040546471537856,263620.0,986692.0,1330413.0,15437738.0,34.0,2006-08-27 00:00:00,31.0
Left 4 Dead 2,left_4_dead_2,550,2009-11-16,766770.0,1253109.0,98.0,31.85452436911077,67127881.0,407403740.0,76031335.0,93360747.0,28106.0,2009-12-05 00:00:00,16186.0
Counter-Strike 2,counter_strike_2,730,2012-08-21,9205337.0,4608013.0,86.0,202.9937905388709,328588266.0,10308861515.476597,328588266.0,394857082.0,50533.0,2012-11-01 00:00:00,24538.01098901099
BioShock,bioshock,7670,2007-08-21,24492.0,34659.0,94.0,6.260686523190454,1838068.0,14528268.0,3842931.0,9577099.0,179.0,2008-10-25 00:00:00,84.23076923076923
Just Cause 2,just_cause_2,8190,2010-03-23,40533.0,57814.0,91.0,12.909159544633177,6019427.0,36917167.0,6709799.0,10055804.0,3435.0,2010-03-27 00:00:00,1804.1648351648353
BioShock 2,bioshock_2,8850,2010-02-09,11156.0,32059.0,89.0,6.880000326100754,1023397.0,7120222.0,2313724.0,10127663.0,4635.0,2010-02-10 00:00:00,485.1666666666667
BioShock Infinite,bioshock_infinite,8870,2013-03-25,107321.0,131233.0,94.0,12.502508250408331,7130139.0,61777917.0,8141457.0,12743456.0,65332.0,2013-03-26 00:00:00,8861.857142857143
Saints Row 2,saints_row_2,9480,2009-01-07,12200.0,20253.0,76.0,12.341294971139607,1036708.0,3971944.0,2758091.0,6737142.0,716.0,2009-02-14 00:00:00,282.7391304347826
Grand Theft Auto IV: The Complete Edition,grand_theft_auto_iv_the_complete_edition,12210,2010-10-01,162819.0,178948.0,83.0,26.62294085860407,8151939.0,51744880.0,8671692.0,11143755.0,1483.0,2010-12-30 00:00:00,577.054945054945
Borderlands 2,borderlands_2,49520,2012-09-17,208387.0,316042.0,89.0,47.13641569133399,16318491.0,100097795.0,19464731.0,24083730.0,124678.0,2012-09-22 00:00:00,41464.73626373626
